10.97.8.89 | SUCCESS | rc=0 >>
    id     | sid  |  hid   | day | score | maxscore | lsn | fightn | winn | losen |         name          
    193250 | 3050 | 620139 |   7 |  7857 |     7881 |   0 |     17 |   21 |    36 | [s3210]FAIRYTAIL
     14559 | 4551 | 620139 |   7 |  7819 |     7819 |   3 |      4 |   19 |    28 | 兄弟齐心
    165891 | 5219 | 620139 |   7 |  7817 |     7825 |   0 |     37 |   20 |    16 | [s5744]ANTEIKU
    316701 | 5867 | 620139 |   7 |  7801 |     7801 |   1 |      0 |   19 |    15 | [s6553]HeavyMetal
    158005 |    4 | 620139 |   7 |  7669 |     7669 |  17 |      5 |   17 |     0 | [s7863]个。BMW。个
 177703050 | 3050 | 620139 |   7 |  7661 |     7709 |   0 |     19 |   19 |    31 | 兄弟齐心
     36927 | 6694 | 620139 |   7 |  7630 |     7720 |   0 |      2 |   21 |    29 | [s6789]PATRONES
    532221 |  385 | 620139 |   7 |  7590 |     7652 |   0 |      4 |   17 |    18 | 兄弟齐心
   3796694 | 6694 | 620139 |   7 |  7505 |     7525 |   0 |      1 |   17 |     5 | 兄弟齐心
     26757 | 6694 | 620139 |   7 |  7472 |     7472 |   2 |      1 |   17 |    14 | [s6625]NoFUXsGvn
    654517 | 3050 | 620139 |   7 |  7398 |     7398 |   4 |      0 |   16 |    13 | [s4306]GUERREROS
     96464 | 5867 | 620139 |   7 |  7356 |     7408 |   0 |     15 |   16 |    37 | [s6280]WindWarriors
 176493050 | 3050 | 620139 |   7 |  7294 |     7294 |   1 |     12 |   16 |    55 | 兄弟齐心
    176503 | 5867 | 620139 |   7 |  7273 |     7311 |   0 |      0 |   15 |     8 | 兄弟齐心
     46769 | 6694 | 620139 |   7 |  7226 |     7226 |   4 |     17 |   14 |     3 | [s6622]Hunters
     31058 |    7 | 620139 |   7 |  6972 |     6972 |   4 |     18 |   14 |     7 | [s1129]Unity
     18004 |    4 | 620139 |   7 |  6957 |     6957 |   2 |      6 |   14 |     9 | [s7888]Sexyglobos
   3016921 | 6694 | 620139 |   7 |  6949 |     6949 |   0 |      0 |   13 |    26 | 兄弟齐心
    113073 | 2502 | 620139 |   7 |  6925 |     6975 |   0 |      5 |   15 |    14 | [s2960]chiliwilli
    424411 | 3050 | 620139 |   7 |  6920 |     6920 |   0 |     20 |   14 |     6 | [s4314]ciclon
    422903 | 2275 | 620139 |   7 |  6878 |     6878 |   3 |      0 |   13 |     1 | [s2806]LosVergasXD
    615083 | 4551 | 620139 |   7 |  6831 |     6831 |   1 |      2 |   11 |    12 | [s4942]Infrangible
  88664578 | 4551 | 620139 |   7 |  6732 |     6798 |   0 |      0 |   12 |    35 | [s4597]RideOrDie
     24551 | 4551 | 620139 |   7 |  6706 |     6714 |   0 |      0 |   11 |    12 | [s4427]ChaosForce
   1645215 | 5219 | 620139 |   7 |  6669 |     6669 |   1 |      0 |   12 |    20 | 兄弟齐心
    166924 | 6694 | 620139 |   7 |  6637 |     6637 |   0 |     10 |    6 |    67 | [s6756]GLADIADORES
 149302346 | 2275 | 620139 |   7 |  6633 |     6651 |   0 |      0 |    8 |    34 | [s2492]TomorrowsHope
    223357 | 3050 | 620139 |   7 |  6630 |     6630 |   2 |     14 |   11 |     9 | 兄弟齐心
    921098 |    7 | 620139 |   7 |  6546 |     6546 |   0 |      7 |    8 |    38 | [s1088]Mercenarios
   4736694 | 6694 | 620139 |   7 |  6546 |     6546 |   0 |      7 |    8 |    29 | 兄弟齐心
 147250796 |  385 | 620139 |   7 |  6532 |     6532 |   5 |      0 |   10 |     6 | [s1119]Assassins
    134022 | 3050 | 620139 |   7 |  6479 |     6498 |   0 |      0 |   11 |     8 | [s4001]IceAndFlame
 108382528 | 2275 | 620139 |   7 |  6468 |     6468 |   1 |      6 |    9 |    20 | [s2592]REPTILES
    301047 |    7 | 620139 |   7 |  6447 |     6447 |   0 |      0 |    8 |    23 | [s1902]LOBOSOLITARIOS
   4674974 | 4551 | 620139 |   7 |  6444 |     6444 |   1 |     13 |    9 |     8 | [s5061]HipHop
    163915 |    5 | 620139 |   7 |  6375 |     6375 |   1 |      0 |    9 |     6 | [s3847]ILUMINATI
    110092 |    5 | 620139 |   7 |  6328 |     6328 |   0 |     16 |    8 |    13 | [s89]WarKnights
    834907 | 4551 | 620139 |   7 |  6301 |     6326 |   0 |      8 |    5 |    63 | [s4824]BlackClover
   4365587 | 5219 | 620139 |   7 |  6261 |     6297 |   0 |     12 |    8 |    20 | 兄弟齐心
  17340004 |    4 | 620139 |   7 |  6221 |     6221 |   0 |      0 |    8 |    24 | 兄弟齐心
    405427 | 5219 | 620139 |   7 |  6221 |     6221 |   0 |      0 |    8 |    15 | [s5316]Inmortaly
    135663 | 5219 | 620139 |   7 |  6190 |     6190 |   0 |      0 |    8 |    23 | [s5508]Eclipse
  83951291 |    5 | 620139 |   7 |  6140 |     6140 |   8 |      0 |    8 |     0 | 兄弟齐心
  83461291 |    5 | 620139 |   7 |  6140 |     6140 |   8 |      0 |    8 |     0 | 兄弟齐心
 193211291 |    5 | 620139 |   7 |  6129 |     6129 |   7 |      0 |    7 |     0 | [s1309]与尸开门长与
   5105219 | 5219 | 620139 |   7 |  6107 |     6155 |   0 |      0 |    7 |    26 | 兄弟齐心
   2805915 | 5867 | 620139 |   7 |  6091 |     6159 |   0 |      0 |    8 |     9 | 兄弟齐心
  61221291 |    5 | 620139 |   7 |  6089 |     6089 |   7 |      0 |    7 |     0 | [s1309]PROpain
 499100385 |  385 | 620139 |   7 |  6087 |     6105 |   0 |      0 |    7 |    14 | [s377]eclipse
   1087745 | 2502 | 620139 |   7 |  6080 |     6080 |   1 |      0 |    7 |    24 | [s7658]Shoei
    472226 |  385 | 620139 |   7 |  6075 |     6075 |   7 |      0 |    8 |     2 | [s2200]Reapers
     68017 |    4 | 620139 |   7 |  6049 |     6129 |   0 |      4 |    8 |    17 | [s7887]TEMPLARS99
  83681291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
 192531291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
  83691291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
    251328 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
  83981291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      6 |    8 |     0 | 兄弟齐心
  83801291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
  83861291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
  83731291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      0 |    8 |     0 | 兄弟齐心
  83821291 |    5 | 620139 |   7 |  6040 |     6040 |   8 |      5 |    8 |     0 | 兄弟齐心
    896694 | 6694 | 620139 |   7 |  6025 |     6041 |   0 |      2 |    7 |     3 | [s6590]nvOnePiece
    752126 |  385 | 620139 |   7 |  6025 |     6025 |   2 |      0 |    7 |     3 | [s2088]TheOriginals
    185245 | 4551 | 620139 |   7 |  6024 |     6024 |   0 |      0 |    6 |     6 | [s5112]SANTUARIO
    135622 | 5219 | 620139 |   7 |  6021 |     6021 |   5 |      0 |    7 |     1 | [s5482]SinnerS
     98132 |    4 | 620139 |   7 |  6013 |     6079 |   0 |      0 |    5 |    43 | 兄弟齐心
   3077201 | 2275 | 620139 |   7 |  6012 |     6012 |   0 |     10 |    6 |     3 | [s7152]PEAKYBLINDERS
    187324 | 2275 | 620139 |   7 |  5990 |     5990 |   0 |      5 |    6 |    14 | [s7173]ChikitrikiS
    294572 | 4551 | 620139 |   7 |  5980 |     6008 |   0 |      5 |    7 |    32 | 兄弟齐心
   2304009 |    4 | 620139 |   7 |  5949 |     5949 |   6 |      0 |    6 |     1 | 兄弟齐心
    431982 |    7 | 620139 |   7 |  5907 |     5955 |   0 |      0 |    6 |    11 | [s1904]NightShade
 144643337 | 3050 | 620139 |   7 |  5888 |     5888 |   1 |      0 |    6 |     3 | [s3353]MiddleEarth
     43245 | 3050 | 620139 |   7 |  5867 |     5867 |   6 |      0 |    6 |     0 | [s3273]The·Craziess
     28225 |  631 | 620139 |   7 |  5860 |     5930 |   0 |      0 |    6 |    17 | 兄弟齐心
     73435 | 3050 | 620139 |   7 |  5797 |     5797 |   1 |      0 |    5 |     6 | [s3374]CrazyF3rNuX99
 530680005 |    5 | 620139 |   7 |  5752 |     5796 |   0 |     48 |    7 |    47 | 兄弟齐心
     34217 | 3050 | 620139 |   7 |  5731 |     5745 |   0 |      0 |    5 |    11 | [s4177]BloodSeekers
 251070752 |  631 | 620139 |   7 |  5690 |     5690 |   0 |      0 |    4 |     6 | 兄弟齐心
 170132042 |  385 | 620139 |   7 |  5673 |     5673 |   0 |      0 |    3 |    16 | [s2336]VANDALS
 210590796 |  385 | 620139 |   7 |  5666 |     5698 |   0 |      0 |    5 |    62 | 兄弟齐心
    167058 | 6694 | 620139 |   7 |  5641 |     5641 |   1 |      0 |    4 |     5 | [s6903]奥林巴斯
 147863045 | 3050 | 620139 |   7 |  5605 |     5605 |   0 |      0 |    4 |     3 | [s3047]DarknesSHunteR
